email,sex,isLGBTQIA,age,civilStatus,isPasigueno,yearsInPasig,barangay,familyMonthlyIncome,religion,curricularProgram,academicStatus,workingStudent,deansLister,presidentsLister,feederSchool,strandInSHS,isPWD
a.harris@gmail.com,Male,No,23 years old,Single Parent,No,less than 1 year,Mandaluyong City,"From Php219,140 and up",World Mission Society Church of God,BSED-FIL,Irregular,No,No,No,Public,Sports Track,No
a.hernandez@gmail.com,Female,No,below 18 years old,Living with Partner,Yes,less than 1 year,Kalawaan,"Between Php43,839 to Php76,669",No Religion,BEED,Irregular,No,No,No,Public,HUMSS,No
a.jackson@gmail.com,Male,No,18 years old,Separated,Yes,less than 1 year,Bagong Katipunan,"Between Php43,839 to Php76,669",Iglesia Ni Cristo,BSED-MATH,Regular,No,No,No,Private,Sports Track,No
a.johnson@gmail.com,Male,No,25 years old and above,Single,No,less than 1 year,Teresa,"Between Php76,670 to Php131,484",Atheist,BEED,Regular,No,No,No,Private,GAS,No
a.jones@gmail.com,Female,No,22 years old,Widower,Yes,16 - 20 years,Rosario,"Less than Php9,520",Protestant/Pentecostal,BSED-FIL,Regular,No,Yes,No,Private,STEM,No
a.king@gmail.com,Female,No,24 years old,Separated,Yes,16 - 20 years,Sagad,"Between Php131,485 to Php219,140",No Religion,BSIT,Regular,Yes,Yes,No,Public,GAS,No
a.lee@gmail.com,Male,No,23 years old,Living with Partner,Yes,1 - 5 years,San Jose,"Between Php131,485 to Php219,140",Atheist,BSED-FIL,Regular,No,No,No,Public,ABM,No
a.lewis@gmail.com,Male,No,25 years old and above,Married,No,less than 1 year,Quezon City,"Less than Php9,520",Roman Catholic,BSECE,Irregular,No,No,No,Private,HUMSS,No
a.lopez@gmail.com,Male,No,below 18 years old,Separated,No,less than 1 year,Santa Rosa,"Between Php43,839 to Php76,669",Undetermined,BSED-FIL,Irregular,Yes,No,No,Private,GAS,No
a.martin@gmail.com,Female,No,19 years old,Widower,No,less than 1 year,Quezon City,"From Php219,140 and up",Born - Again Christian,BSN,Regular,Yes,No,No,Private,TVL Track,No
a.martinez@gmail.com,Female,No,23 years old,Separated,Yes,16 - 20 years,Pineda,"Between Php76,670 to Php131,484",Baptist,BSCS,Regular,No,Yes,No,Private,STEM,No
a.mitchell@gmail.com,Female,No,25 years old and above,Widower,No,less than 1 year,Santolan,"Between Php43,839 to Php76,669",Islam,BSECE,Regular,Yes,No,No,Private,HUMSS,No
a.nelson@gmail.com,Male,No,19 years old,Single,No,less than 1 year,Taguig City,"Between Php43,839 to Php76,669",Roman Catholic,BSIT,Regular,No,No,No,Private,Sports Track,No
a.nguyen@gmail.com,Female,No,20 years old,Married,Yes,less than 1 year,Sagad,"Between Php43,839 to Php76,669",Baptist,BSHM,Regular,Yes,No,No,Public,ABM,No
a.ramirez@gmail.com,Male,No,24 years old,Single,No,less than 1 year,Cavite,"Less than Php9,520",Atheist,BSECE,Regular,Yes,No,Yes,Public,ABM,No
a.rivera@gmail.com,Male,No,20 years old,Living with Partner,Yes,1 - 5 years,Dela Paz,"From Php219,140 and up",Seventh-Day Adventist,BEED,Irregular,No,Yes,No,Public,HUMSS,No
a.robinson@gmail.com,Male,No,22 years old,Widower,No,less than 1 year,Dela Paz,"From Php219,140 and up",Born - Again Christian,ABPSYCH,Regular,No,No,No,Public,STEM,No
a.rodriguez@gmail.com,Male,No,20 years old,Widower,No,less than 1 year,Cainta,"Between Php21,195 to Php43,838",Iglesia Ni Cristo,BSED-FIL,Irregular,No,No,No,Public,TVL Track,No
a.sanchez@gmail.com,Male,No,20 years old,Living with Partner,Yes,11 - 15 years,Buting,"Between Php43,839 to Php76,669",Methodist,BSCS,Regular,Yes,No,No,Private,TVL Track,No
a.scott@gmail.com,Female,No,24 years old,Living with Partner,Yes,26 years and above,Dela Paz,"Between Php131,485 to Php219,140",Seventh-Day Adventist,BSED-ENG,Irregular,No,No,No,Public,STEM,No
a.smith@gmail.com,Male,No,23 years old,Married,Yes,11 - 15 years,Santolan,"From Php219,140 and up",Seventh-Day Adventist,BSED-MATH,Irregular,Yes,No,No,Public,TVL Track,No
a.taylor@gmail.com,Male,No,20 years old,Living with Partner,No,less than 1 year,Bulacan,"Less than Php9,520",Roman Catholic,BSECE,Regular,Yes,No,No,Public,Sports Track,No
a.thomas@gmail.com,Female,No,20 years old,Separated,Yes,1 - 5 years,Sagad,"Between Php21,195 to Php43,838",Roman Catholic,BSCS,Regular,Yes,No,No,Private,ABM,No
a.thompson@gmail.com,Male,No,25 years old and above,Living with Partner,Yes,1 - 5 years,Rosario,"Between Php76,670 to Php131,484",Aglipay,BSED-FIL,Regular,Yes,No,No,Public,HUMSS,Yes
a.torres@gmail.com,Male,No,22 years old,Single,Yes,6 - 10 years,Santa Rosa,"Between Php9,520 to Php21,194",Methodist,BSCS,Irregular,No,No,No,Public,HUMSS,No
a.white@gmail.com,Male,No,19 years old,Married,No,less than 1 year,Quezon City,"Between Php131,485 to Php219,140",World Mission Society Church of God,BSHM,Irregular,No,No,No,Private,ABM,No
a.williams@gmail.com,Male,No,20 years old,Living with Partner,Yes,1 - 5 years,Pineda,"Between Php131,485 to Php219,140",Iglesia Ni Cristo,BSA,Regular,No,No,No,Private,STEM,No
a.wilson@gmail.com,Male,No,21 years old,Separated,Yes,6 - 10 years,San Miguel,"Between Php43,839 to Php76,669",Protestant/Pentecostal,BSBA,Regular,No,No,No,Public,TVL Track,No
a.wright@gmail.com,Male,No,20 years old,Married,Yes,less than 1 year,Buting,"Between Php21,195 to Php43,838",Aglipay,BSHM,Regular,No,Yes,No,Public,GAS,No
a.young@gmail.com,Female,No,25 years old and above,Married,Yes,less than 1 year,Oranbo,"Between Php9,520 to Php21,194",LDS Mormon,ABPSYCH,Irregular,Yes,No,No,Public,TVL Track,No
abigail.allen433@gmail.com,Female,No,24 years old,Separated,Yes,6 - 10 years,Santa Cruz,"Between Php21,195 to Php43,838",Baptist,BSCS,Regular,No,No,No,Private,GAS,No
abigail.baker797@gmail.com,Male,No,22 years old,Married,Yes,21 - 25 years,Pinagbuhatan,"From Php219,140 and up",Atheist,BSIT,Regular,No,No,No,Private,STEM,No
abigail.brown@gmail.com,Male,No,21 years old,Married,Yes,16 - 20 years,San Nicolas,"Between Php9,520 to Php21,194",LDS Mormon,BSED-MATH,Regular,Yes,No,No,Private,HUMSS,No
abigail.campbell694@gmail.com,Male,No,21 years old,Separated,No,less than 1 year,Quezon City,"Between Php21,195 to Php43,838",Seventh-Day Adventist,BSED-FIL,Irregular,No,No,No,Private,Sports Track,No
abigail.flores@gmail.com,Male,No,21 years old,Married,Yes,11 - 15 years,Pineda,"Between Php131,485 to Php219,140",Roman Catholic,BEED,Irregular,No,Yes,No,Public,Sports Track,No
abigail.gonzalez@gmail.com,Male,No,21 years old,Separated,No,less than 1 year,Teresa,"Between Php76,670 to Php131,484",Seventh-Day Adventist,BSECE,Regular,No,No,No,Private,STEM,No
abigail.harris17@gmail.com,Female,No,18 years old,Single Parent,No,less than 1 year,Bagong Ilog,"Between Php21,195 to Php43,838",Jehovah's Witness,BSED-FIL,Regular,Yes,Yes,No,Private,HUMSS,No
abigail.hernandez@gmail.com,Male,No,18 years old,Widower,Yes,less than 1 year,Binangonan,"Less than Php9,520",Islam,BSECE,Regular,Yes,No,Yes,Public,GAS,No
abigail.hill@gmail.com,Male,No,20 years old,Married,Yes,less than 1 year,San Antonio,"Between Php43,839 to Php76,669",Undetermined,BSED-ENG,Regular,No,No,Yes,Private,GAS,No
abigail.jackson153@gmail.com,Male,No,25 years old and above,Single Parent,No,less than 1 year,Santa Cruz,"Less than Php9,520",Atheist,BSA,Regular,No,No,No,Public,Sports Track,No
abigail.johnson120@gmail.com,Male,No,21 years old,Widower,No,less than 1 year,Quezon City,"Less than Php9,520",Seventh-Day Adventist,BSN,Regular,No,No,No,Private,STEM,No
abigail.jones25@gmail.com,Male,No,24 years old,Single Parent,Yes,26 years and above,San Miguel,"Between Php21,195 to Php43,838",Born - Again Christian,ABPSYCH,Regular,No,Yes,No,Private,STEM,No
abigail.jones573@gmail.com,Female,No,23 years old,Widower,Yes,16 - 20 years,Palatiw,"From Php219,140 and up",LDS Mormon,BSCS,Irregular,No,No,No,Private,STEM,No
abigail.jones@gmail.com,Male,No,22 years old,Married,Yes,21 - 25 years,San Nicolas,"Between Php21,195 to Php43,838",Aglipay,ABPSYCH,Regular,Yes,No,No,Private,Sports Track,No
abigail.lewis@gmail.com,Male,No,18 years old,Separated,Yes,less than 1 year,Pinagbuhatan,"Between Php9,520 to Php21,194",Born - Again Christian,BSHM,Regular,No,No,Yes,Private,ABM,No
abigail.lopez@gmail.com,Female,No,19 years old,Separated,Yes,less than 1 year,Oranbo,"Between Php9,520 to Php21,194",Baptist,BSN,Regular,Yes,No,No,Private,GAS,No
abigail.martin992@gmail.com,Female,No,23 years old,Single,No,less than 1 year,Palatiw,"Between Php76,670 to Php131,484",Iglesia Ni Cristo,BSED-ENG,Regular,Yes,No,No,Private,ABM,No
abigail.martin@gmail.com,Male,No,21 years old,Widower,Yes,less than 1 year,Sagad,"From Php219,140 and up",Atheist,BSA,Irregular,No,No,No,Public,STEM,No
abigail.martinez949@gmail.com,Female,No,18 years old,Single Parent,No,less than 1 year,Taytay,"Between Php21,195 to Php43,838",Seventh-Day Adventist,ABPSYCH,Regular,Yes,No,No,Public,TVL Track,Yes
abigail.martinez@gmail.com,Female,No,20 years old,Living with Partner,Yes,less than 1 year,Pinagbuhatan,"From Php219,140 and up",The Church of Jesus Christ of Latter-Day Saints,BSA,Irregular,Yes,No,No,Public,GAS,No
abigail.miller@gmail.com,Female,No,20 years old,Married,No,less than 1 year,Cavite,"From Php219,140 and up",Seventh-Day Adventist,BSHM,Regular,No,No,No,Public,GAS,No
abigail.moore796@gmail.com,Male,No,20 years old,Single Parent,No,less than 1 year,Mandaluyong City,"Between Php43,839 to Php76,669",Members Church of God International,BSN,Regular,No,No,No,Public,Sports Track,No
abigail.nelson156@gmail.com,Male,No,23 years old,Married,Yes,21 - 25 years,San Antonio,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSIT,Irregular,No,No,No,Public,STEM,No
abigail.nelson339@gmail.com,Female,No,19 years old,Separated,Yes,1 - 5 years,Pineda,"Less than Php9,520",Seventh-Day Adventist,BSA,Regular,Yes,Yes,No,Public,GAS,No
abigail.nguyen653@gmail.com,Female,No,18 years old,Separated,No,less than 1 year,Buting,"Between Php76,670 to Php131,484",Methodist,BSED-FIL,Regular,Yes,No,No,Public,ABM,No
abigail.ramirez126@gmail.com,Male,Yes,25 years old and above,Single,Yes,26 years and above,Taytay,"Less than Php9,520",Seventh-Day Adventist,BSED-MATH,Regular,No,No,No,Public,HUMSS,No
abigail.rivera254@gmail.com,Female,Yes,18 years old,Separated,Yes,less than 1 year,Pinagbuhatan,"Between Php9,520 to Php21,194",Islam,BSCS,Irregular,Yes,Yes,No,Public,STEM,No
abigail.rivera56@gmail.com,Male,No,23 years old,Married,No,less than 1 year,Bagong Katipunan,"Between Php9,520 to Php21,194",Seventh-Day Adventist,BSCS,Regular,No,No,No,Public,Sports Track,Yes
abigail.rivera@gmail.com,Male,No,24 years old,Living with Partner,No,less than 1 year,Cainta,"From Php219,140 and up",Undetermined,BSED-ENG,Regular,Yes,No,No,Private,HUMSS,No
abigail.robinson259@gmail.com,Female,No,below 18 years old,Single Parent,No,less than 1 year,Teresa,"From Php219,140 and up",Baptist,ABPSYCH,Regular,Yes,No,No,Public,HUMSS,No
abigail.sanchez@gmail.com,Female,No,24 years old,Single Parent,Yes,less than 1 year,Kapasigan,"Between Php131,485 to Php219,140",Iglesia Ni Cristo,BEED,Regular,No,Yes,No,Public,Sports Track,No
abigail.scott761@gmail.com,Female,No,19 years old,Single Parent,Yes,1 - 5 years,Palatiw,"From Php219,140 and up",Protestant/Pentecostal,ABPSYCH,Regular,No,No,No,Public,GAS,No
abigail.smith873@gmail.com,Female,Yes,22 years old,Single,Yes,16 - 20 years,"Montalban, Rizal","Less than Php9,520",World Mission Society Church of God,BSED-ENG,Irregular,No,No,No,Public,TVL Track,No
abigail.taylor192@gmail.com,Female,No,23 years old,Single,Yes,6 - 10 years,Kapitolyo,"Between Php43,839 to Php76,669",Atheist,BSCS,Irregular,No,No,No,Private,TVL Track,Yes
abigail.torres340@gmail.com,Female,No,22 years old,Single,Yes,21 - 25 years,Pateros,"Between Php21,195 to Php43,838",Aglipay,ABPSYCH,Irregular,Yes,No,No,Public,HUMSS,No
abigail.wilson@gmail.com,Female,No,19 years old,Separated,Yes,1 - 5 years,San Nicolas,"Between Php131,485 to Php219,140",Undetermined,ABPSYCH,Regular,No,No,No,Private,STEM,No
abigail.young129@gmail.com,Male,No,24 years old,Living with Partner,Yes,26 years and above,Sumilang,"Between Php9,520 to Php21,194",Iglesia Ni Cristo,BSED-MATH,Irregular,No,No,No,Public,ABM,No
amelia.adams762@gmail.com,Male,No,22 years old,Separated,Yes,6 - 10 years,Dela Paz,"From Php219,140 and up",Born - Again Christian,BSECE,Regular,No,Yes,No,Private,TVL Track,Yes
amelia.anderson362@gmail.com,Male,No,20 years old,Widower,Yes,6 - 10 years,Quezon City,"Between Php131,485 to Php219,140",Islam,BSED-MATH,Regular,No,No,No,Private,ABM,No
amelia.anderson@gmail.com,Male,Yes,25 years old and above,Married,Yes,1 - 5 years,Oranbo,"Between Php21,195 to Php43,838",Members Church of God International,BSBA,Irregular,Yes,No,No,Public,TVL Track,No
amelia.baker593@gmail.com,Female,No,23 years old,Separated,Yes,less than 1 year,Pinagbuhatan,"Less than Php9,520",Aglipay,BEED,Regular,No,No,No,Public,ABM,No
amelia.baker@gmail.com,Male,No,24 years old,Single,No,less than 1 year,Catanduanes,"Between Php131,485 to Php219,140",Islam,BSBA,Regular,No,Yes,No,Public,Sports Track,No
amelia.brown@gmail.com,Male,No,18 years old,Widower,No,less than 1 year,Kapitolyo,"From Php219,140 and up",Baptist,BEED,Regular,No,Yes,No,Public,HUMSS,No
amelia.campbell416@gmail.com,Female,No,20 years old,Married,Yes,11 - 15 years,Pateros,"Less than Php9,520",Islam,BSED-MATH,Irregular,No,No,No,Private,TVL Track,No
amelia.campbell@gmail.com,Female,No,21 years old,Single,Yes,11 - 15 years,Pateros,"Between Php76,670 to Php131,484",Iglesia Ni Cristo,BSA,Regular,No,No,No,Public,Sports Track,No
amelia.clark326@gmail.com,Female,No,21 years old,Single Parent,No,less than 1 year,Taytay,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSBA,Regular,No,Yes,No,Public,HUMSS,Yes
amelia.clark686@gmail.com,Male,No,20 years old,Single,No,less than 1 year,Oranbo,"Less than Php9,520",Methodist,BSA,Irregular,No,No,No,Public,TVL Track,No
amelia.flores43@gmail.com,Male,No,18 years old,Single Parent,Yes,1 - 5 years,Sagad,"Between Php9,520 to Php21,194",World Mission Society Church of God,BSECE,Regular,No,No,No,Public,STEM,No
amelia.flores@gmail.com,Male,No,20 years old,Widower,Yes,1 - 5 years,Antipolo,"Between Php131,485 to Php219,140",Undetermined,BSA,Regular,Yes,No,No,Private,Sports Track,No
amelia.garcia220@gmail.com,Male,No,22 years old,Living with Partner,Yes,21 - 25 years,Santa Cruz,"Between Php76,670 to Php131,484",Members Church of God International,BSIT,Irregular,No,No,No,Private,TVL Track,No
amelia.garcia@gmail.com,Male,No,18 years old,Separated,No,less than 1 year,Marikina City,"From Php219,140 and up",Seventh-Day Adventist,BSHM,Regular,No,No,No,Public,ABM,No
amelia.gonzalez195@gmail.com,Male,No,22 years old,Married,No,less than 1 year,Marikina City,"Less than Php9,520",Agnostic,BSED-MATH,Irregular,Yes,No,No,Private,Sports Track,No
amelia.hall@gmail.com,Female,No,25 years old and above,Living with Partner,No,less than 1 year,Malinao,"Between Php43,839 to Php76,669",LDS Mormon,BSECE,Regular,Yes,No,No,Private,GAS,No
amelia.harris@gmail.com,Female,No,24 years old,Married,No,less than 1 year,Taytay,"From Php219,140 and up",Agnostic,BSBA,Regular,Yes,No,No,Public,ABM,No
amelia.hernandez182@gmail.com,Female,Yes,18 years old,Married,No,less than 1 year,Mandaluyong City,"Between Php76,670 to Php131,484",Atheist,BSED-FIL,Regular,Yes,No,No,Public,Sports Track,No
amelia.hill186@gmail.com,Female,No,below 18 years old,Married,Yes,less than 1 year,San Joaquin,"Between Php131,485 to Php219,140",Baptist,BSIT,Irregular,No,No,Yes,Public,GAS,No
amelia.johnson597@gmail.com,Male,No,below 18 years old,Widower,No,less than 1 year,Rosario,"From Php219,140 and up",Agnostic,ABPSYCH,Regular,No,No,No,Public,STEM,No
amelia.jones408@gmail.com,Female,No,22 years old,Widower,No,less than 1 year,Cavite,"Between Php131,485 to Php219,140",Born - Again Christian,BSED-FIL,Regular,No,No,No,Private,HUMSS,No
amelia.jones926@gmail.com,Male,No,18 years old,Widower,Yes,less than 1 year,San Miguel,"Between Php131,485 to Php219,140",Seventh-Day Adventist,BSA,Regular,No,Yes,No,Private,Sports Track,No
amelia.lee@gmail.com,Male,No,23 years old,Widower,Yes,6 - 10 years,Rosario,"Less than Php9,520",Islam,BSA,Regular,No,No,No,Public,STEM,No
amelia.lopez39@gmail.com,Female,Yes,19 years old,Single Parent,No,less than 1 year,Bulacan,"Between Php43,839 to Php76,669",Agnostic,BSIT,Regular,No,No,No,Private,ABM,No
amelia.martin@gmail.com,Male,No,below 18 years old,Living with Partner,Yes,less than 1 year,San Antonio,"Less than Php9,520",Baptist,BSA,Regular,No,No,Yes,Public,Sports Track,No
amelia.miller498@gmail.com,Female,No,24 years old,Widower,Yes,26 years and above,San Nicolas,"Between Php43,839 to Php76,669",Members Church of God International,BSED-MATH,Irregular,No,No,No,Public,ABM,No
amelia.miller758@gmail.com,Female,No,below 18 years old,Living with Partner,Yes,less than 1 year,Pineda,"Less than Php9,520",World Mission Society Church of God,BSECE,Regular,No,No,No,Private,GAS,No
amelia.miller@gmail.com,Male,No,20 years old,Living with Partner,No,less than 1 year,Cainta,"Less than Php9,520",Seventh-Day Adventist,BSECE,Irregular,No,No,No,Public,HUMSS,No
amelia.mitchell@gmail.com,Male,No,20 years old,Single Parent,No,less than 1 year,San Jose,"From Php219,140 and up",Undetermined,BSED-MATH,Regular,No,No,Yes,Public,ABM,No
amelia.moore@gmail.com,Male,No,22 years old,Single Parent,No,less than 1 year,Antipolo,"Less than Php9,520",No Religion,BSED-MATH,Irregular,No,No,No,Private,STEM,Yes
amelia.nguyen@gmail.com,Male,No,22 years old,Married,Yes,6 - 10 years,Malinao,"Between Php43,839 to Php76,669",The Church of Jesus Christ of Latter-Day Saints,BSED-ENG,Regular,No,No,No,Public,TVL Track,No
amelia.ramirez@gmail.com,Female,No,19 years old,Widower,Yes,1 - 5 years,Kapasigan,"From Php219,140 and up",Born - Again Christian,BSIT,Regular,No,No,No,Private,ABM,No
amelia.robinson19@gmail.com,Female,No,19 years old,Separated,No,less than 1 year,Teresa,"Between Php76,670 to Php131,484",Methodist,BEED,Regular,Yes,No,Yes,Private,HUMSS,No
amelia.sanchez@gmail.com,Female,No,19 years old,Single,No,less than 1 year,Marikina City,"Between Php76,670 to Php131,484",Islam,ABPSYCH,Regular,No,No,No,Public,ABM,No
amelia.thomas747@gmail.com,Male,No,22 years old,Single,Yes,11 - 15 years,San Miguel,"Between Php9,520 to Php21,194",Islam,BEED,Regular,No,Yes,No,Public,GAS,No
amelia.thomas@gmail.com,Female,No,25 years old and above,Separated,Yes,16 - 20 years,Maybunga,"From Php219,140 and up",Agnostic,ABPSYCH,Irregular,Yes,No,No,Public,Sports Track,No
amelia.torres284@gmail.com,Female,No,below 18 years old,Separated,Yes,less than 1 year,Pinagbuhatan,"Less than Php9,520",Roman Catholic,BSECE,Regular,No,No,No,Private,ABM,No
amelia.torres@gmail.com,Female,No,24 years old,Single,No,less than 1 year,"Montalban, Rizal","Between Php9,520 to Php21,194",Roman Catholic,BSA,Irregular,No,No,No,Private,GAS,No
amelia.williams330@gmail.com,Female,No,20 years old,Single Parent,No,less than 1 year,Antipolo,"Between Php43,839 to Php76,669",Born - Again Christian,BSED-FIL,Regular,No,No,No,Private,TVL Track,No
amelia.williams344@gmail.com,Female,Yes,22 years old,Separated,Yes,less than 1 year,Kapasigan,"Between Php21,195 to Php43,838",LDS Mormon,BEED,Regular,No,No,No,Public,STEM,No
amelia.wilson399@gmail.com,Male,No,23 years old,Separated,Yes,1 - 5 years,Binangonan,"Between Php9,520 to Php21,194",Baptist,BSA,Regular,No,No,No,Public,ABM,No
amelia.wilson@gmail.com,Female,No,25 years old and above,Single Parent,Yes,26 years and above,Taguig City,"Between Php21,195 to Php43,838",Jehovah's Witness,BSA,Regular,Yes,Yes,No,Public,TVL Track,No
amelia.wright104@gmail.com,Female,No,18 years old,Widower,Yes,less than 1 year,Caniogan,"Between Php21,195 to Php43,838",Atheist,BSA,Regular,Yes,Yes,No,Public,STEM,No
amelia.young648@gmail.com,Male,No,20 years old,Single Parent,Yes,11 - 15 years,Maybunga,"Less than Php9,520",Aglipay,BSA,Regular,No,No,No,Private,ABM,No
anthony.adams386@gmail.com,Female,No,19 years old,Living with Partner,No,less than 1 year,Teresa,"Between Php9,520 to Php21,194",Undetermined,BSIT,Regular,No,No,Yes,Private,TVL Track,No
anthony.adams@gmail.com,Female,Yes,20 years old,Living with Partner,Yes,1 - 5 years,Bambang,"Between Php131,485 to Php219,140",Protestant/Pentecostal,BSED-MATH,Irregular,No,No,No,Public,ABM,Yes
anthony.allen838@gmail.com,Male,No,20 years old,Separated,Yes,6 - 10 years,Pinagbuhatan,"Between Php131,485 to Php219,140",Agnostic,BSBA,Regular,No,No,No,Private,ABM,No
anthony.anderson802@gmail.com,Male,No,below 18 years old,Widower,Yes,less than 1 year,San Jose,"Between Php76,670 to Php131,484",LDS Mormon,BEED,Regular,No,No,Yes,Public,GAS,No
anthony.anderson821@gmail.com,Male,No,below 18 years old,Living with Partner,Yes,less than 1 year,Bagong Katipunan,"Between Php9,520 to Php21,194",Atheist,ABPSYCH,Regular,Yes,No,Yes,Private,STEM,No
anthony.anderson905@gmail.com,Male,No,25 years old and above,Married,No,less than 1 year,Mandaluyong City,"Between Php21,195 to Php43,838",Islam,BSED-FIL,Regular,No,No,No,Public,ABM,No
anthony.baker268@gmail.com,Female,No,18 years old,Living with Partner,Yes,1 - 5 years,Sagad,"Between Php43,839 to Php76,669",LDS Mormon,BSECE,Regular,Yes,No,No,Private,HUMSS,No
anthony.baker581@gmail.com,Female,No,19 years old,Widower,Yes,less than 1 year,Kalawaan,"Less than Php9,520",Seventh-Day Adventist,ABPSYCH,Regular,No,No,No,Public,TVL Track,No
anthony.brown@gmail.com,Male,No,24 years old,Living with Partner,Yes,16 - 20 years,Kapasigan,"Between Php76,670 to Php131,484",World Mission Society Church of God,BSBA,Regular,No,No,No,Public,TVL Track,No
anthony.campbell830@gmail.com,Male,No,20 years old,Living with Partner,Yes,6 - 10 years,Pinagbuhatan,"Between Php76,670 to Php131,484",Protestant/Pentecostal,BSED-ENG,Irregular,No,No,No,Public,Sports Track,No
anthony.campbell@gmail.com,Female,No,19 years old,Married,No,less than 1 year,Cainta,"Between Php131,485 to Php219,140",World Mission Society Church of God,BSN,Regular,Yes,No,No,Private,GAS,No
anthony.clark@gmail.com,Male,No,21 years old,Widower,No,less than 1 year,Bulacan,"From Php219,140 and up",Members Church of God International,BSCS,Irregular,No,No,No,Private,TVL Track,No
anthony.davis@gmail.com,Female,No,25 years old and above,Single,Yes,less than 1 year,Maybunga,"Between Php21,195 to Php43,838",Jehovah's Witness,ABPSYCH,Irregular,No,No,No,Private,GAS,No
anthony.garcia617@gmail.com,Female,No,24 years old,Widower,Yes,26 years and above,Santa Cruz,"From Php219,140 and up",Baptist,BSN,Regular,No,Yes,No,Private,Sports Track,No
anthony.garcia73@gmail.com,Male,Yes,below 18 years old,Living with Partner,Yes,less than 1 year,Taytay,"Between Php131,485 to Php219,140",Aglipay,BSED-MATH,Regular,No,No,No,Public,Sports Track,No
anthony.garcia@gmail.com,Female,No,23 years old,Living with Partner,Yes,1 - 5 years,Oranbo,"From Php219,140 and up",World Mission Society Church of God,BSA,Regular,No,No,No,Public,ABM,No
anthony.green216@gmail.com,Male,No,20 years old,Single,Yes,11 - 15 years,Pinagbuhatan,"Between Php43,839 to Php76,669",Aglipay,ABPSYCH,Regular,No,No,No,Public,Sports Track,No
anthony.green939@gmail.com,Female,No,18 years old,Living with Partner,Yes,1 - 5 years,Kapitolyo,"Less than Php9,520",No Religion,BSED-MATH,Regular,No,No,No,Public,ABM,No
anthony.hall@gmail.com,Female,No,20 years old,Married,No,less than 1 year,Marikina City,"Between Php9,520 to Php21,194",Born - Again Christian,BSIT,Irregular,No,No,No,Public,TVL Track,No
anthony.harris@gmail.com,Female,No,24 years old,Single,Yes,6 - 10 years,Santa Rosa,"From Php219,140 and up",Born - Again Christian,BSED-FIL,Regular,No,No,Yes,Public,HUMSS,No
anthony.hill@gmail.com,Female,No,21 years old,Single,Yes,11 - 15 years,Santo Tomas,"From Php219,140 and up",Agnostic,BSECE,Regular,No,No,No,Public,HUMSS,No
anthony.jackson154@gmail.com,Female,No,22 years old,Widower,Yes,16 - 20 years,Kapitolyo,"Between Php131,485 to Php219,140",LDS Mormon,ABPSYCH,Regular,Yes,No,No,Public,GAS,No
anthony.jackson716@gmail.com,Female,No,21 years old,Married,Yes,less than 1 year,Malinao,"Between Php131,485 to Php219,140",Islam,ABPSYCH,Regular,No,Yes,No,Public,STEM,No
