email,sex,isLGBTQIA,age,civilStatus,isPasigueno,yearsInPasig,barangay,familyMonthlyIncome,religion,curricularProgram,academicStatus,workingStudent,deansLister,presidentsLister,feederSchool,strandInSHS,isPWD
a.harris@gmail.com,Male,No,19 years old,Widower,No,less than 1 year,Catanduanes,"Between Php9,520 to Php21,194",Aglipay,BSECE,Irregular,Yes,No,No,Private,Sports Track,No
a.hernandez@gmail.com,Male,No,23 years old,Separated,Yes,16 - 20 years,Oranbo,"Between Php76,670 to Php131,484",Islam,BSBA,Regular,No,No,No,Public,Sports Track,No
a.hill@gmail.com,Female,Yes,20 years old,Single,No,less than 1 year,Teresa,"Between Php9,520 to Php21,194",Roman Catholic,BSED-FIL,Regular,No,No,No,Private,HUMSS,No
a.jackson@gmail.com,Female,No,below 18 years old,Living with Partner,Yes,6 - 10 years,Palatiw,"Between Php21,195 to Php43,838",Jehovah's Witness,BSED-FIL,Regular,Yes,No,No,Private,STEM,No
a.johnson@gmail.com,Female,No,24 years old,Separated,No,less than 1 year,Mandaluyong City,"Between Php43,839 to Php76,669",Born - Again Christian,BSBA,Regular,No,No,No,Public,GAS,No
a.jones@gmail.com,Female,No,24 years old,Separated,No,less than 1 year,Mandaluyong City,"Between Php43,839 to Php76,669",Iglesia Ni Cristo,BSED-MATH,Irregular,Yes,No,No,Public,STEM,No
a.king@gmail.com,Female,No,20 years old,Living with Partner,Yes,21 - 25 years,Kalawaan,"Less than Php9,520",Agnostic,BSHM,Regular,No,No,Yes,Public,HUMSS,No
a.lewis@gmail.com,Male,No,24 years old,Separated,No,less than 1 year,Marikina City,"From Php219,140 and up",Agnostic,BSECE,Regular,No,No,No,Public,GAS,No
a.lopez@gmail.com,Female,No,19 years old,Widower,Yes,11 - 15 years,Maybunga,"Between Php131,485 to Php219,140",Members Church of God International,BSED-ENG,Regular,No,No,No,Public,TVL Track,No
a.martin@gmail.com,Female,No,19 years old,Single,No,less than 1 year,Catanduanes,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSN,Regular,Yes,Yes,No,Public,ABM,No
a.martinez@gmail.com,Male,No,below 18 years old,Living with Partner,No,less than 1 year,Antipolo,"Less than Php9,520",Aglipay,BEED,Irregular,No,No,No,Private,GAS,No
a.miller@gmail.com,Male,No,23 years old,Married,No,less than 1 year,Bulacan,"From Php219,140 and up",Members Church of God International,BSCS,Irregular,Yes,Yes,No,Private,ABM,No
a.mitchell@gmail.com,Female,No,below 18 years old,Separated,Yes,11 - 15 years,Sagad,"From Php219,140 and up",Methodist,BSA,Regular,No,No,No,Public,ABM,No
a.moore@gmail.com,Female,No,23 years old,Living with Partner,Yes,1 - 5 years,Pinagbuhatan,"Between Php9,520 to Php21,194",Baptist,ABPSYCH,Regular,No,No,No,Public,STEM,No
a.nelson@gmail.com,Female,No,19 years old,Widower,Yes,16 - 20 years,Pinagbuhatan,"Between Php131,485 to Php219,140",Iglesia Ni Cristo,BSED-MATH,Regular,Yes,No,No,Public,Sports Track,Yes
a.nguyen@gmail.com,Female,Yes,18 years old,Widower,Yes,6 - 10 years,Sumilang,"Between Php76,670 to Php131,484",Aglipay,BSIT,Regular,Yes,No,Yes,Public,STEM,No
a.perez@gmail.com,Female,No,25 years old and above,Widower,Yes,less than 1 year,San Jose,"Less than Php9,520",Aglipay,BSED-ENG,Regular,No,No,No,Private,TVL Track,No
a.ramirez@gmail.com,Male,No,23 years old,Single Parent,No,less than 1 year,Marikina City,"Between Php131,485 to Php219,140",Atheist,BSHM,Regular,No,No,No,Private,GAS,No
a.rivera@gmail.com,Female,No,20 years old,Living with Partner,No,less than 1 year,Mandaluyong City,"Between Php9,520 to Php21,194",No Religion,BSED-FIL,Regular,No,Yes,No,Private,Sports Track,No
a.robinson@gmail.com,Female,No,below 18 years old,Single Parent,No,less than 1 year,Taytay,"From Php219,140 and up",LDS Mormon,BSA,Regular,No,No,No,Private,Sports Track,No
a.rodriguez@gmail.com,Female,Yes,18 years old,Widower,Yes,less than 1 year,Santa Lucia,"From Php219,140 and up",Born - Again Christian,BSIT,Regular,Yes,No,No,Private,GAS,No
a.scott@gmail.com,Female,No,23 years old,Living with Partner,No,less than 1 year,Binangonan,"Between Php76,670 to Php131,484",Members Church of God International,BSIT,Regular,No,No,No,Public,Sports Track,No
a.taylor@gmail.com,Female,No,22 years old,Separated,No,less than 1 year,Mandaluyong City,"Between Php131,485 to Php219,140",Jehovah's Witness,BSCS,Regular,Yes,No,No,Public,Sports Track,No
a.thomas@gmail.com,Female,Yes,19 years old,Living with Partner,No,less than 1 year,Quezon City,"Between Php43,839 to Php76,669",Protestant/Pentecostal,BSCS,Regular,No,No,No,Private,ABM,No
a.thompson@gmail.com,Female,No,19 years old,Single Parent,Yes,26 years and above,Santolan,"Between Php131,485 to Php219,140",Aglipay,BSED-FIL,Regular,No,No,No,Private,TVL Track,No
a.torres@gmail.com,Female,No,below 18 years old,Widower,No,less than 1 year,Cainta,"Between Php131,485 to Php219,140",No Religion,BSCS,Regular,No,No,No,Public,TVL Track,No
a.walker@gmail.com,Female,No,25 years old and above,Separated,Yes,less than 1 year,San Miguel,"Between Php43,839 to Php76,669",Born - Again Christian,BSED-ENG,Regular,No,Yes,No,Private,ABM,No
a.white@gmail.com,Female,No,21 years old,Living with Partner,Yes,26 years and above,Sumilang,"Between Php131,485 to Php219,140",Iglesia Ni Cristo,BSHM,Regular,No,Yes,No,Public,TVL Track,No
a.williams@gmail.com,Male,No,23 years old,Single,No,less than 1 year,Bulacan,"Less than Php9,520",Members Church of God International,BSED-MATH,Regular,No,No,No,Private,Sports Track,No
a.wilson@gmail.com,Male,No,24 years old,Single Parent,No,less than 1 year,Taguig City,"From Php219,140 and up",Roman Catholic,BSCS,Regular,No,No,No,Private,STEM,No
a.wright@gmail.com,Female,No,below 18 years old,Married,No,less than 1 year,Catanduanes,"Between Php21,195 to Php43,838",World Mission Society Church of God,BSECE,Irregular,No,No,No,Public,Sports Track,No
a.young@gmail.com,Female,No,22 years old,Married,Yes,11 - 15 years,San Nicolas,"Between Php9,520 to Php21,194",The Church of Jesus Christ of Latter-Day Saints,BSECE,Regular,No,No,No,Private,STEM,No
abigail.adams557@gmail.com,Male,No,20 years old,Single Parent,Yes,1 - 5 years,Oranbo,"Less than Php9,520",Born - Again Christian,BSN,Irregular,Yes,No,No,Private,STEM,No
abigail.allen177@gmail.com,Male,No,23 years old,Separated,No,less than 1 year,"Montalban, Rizal","From Php219,140 and up",Methodist,BSHM,Irregular,Yes,No,No,Public,Sports Track,No
abigail.allen567@gmail.com,Female,No,23 years old,Single Parent,No,less than 1 year,Taytay,"Between Php9,520 to Php21,194",Atheist,BSED-ENG,Regular,No,Yes,No,Private,Sports Track,No
abigail.baker@gmail.com,Male,No,below 18 years old,Living with Partner,No,less than 1 year,Marikina City,"Between Php43,839 to Php76,669",Iglesia Ni Cristo,BSA,Regular,No,No,Yes,Private,STEM,No
abigail.brown336@gmail.com,Female,No,25 years old and above,Single,No,less than 1 year,Cavite,"From Php219,140 and up",Methodist,BSECE,Irregular,Yes,No,No,Private,STEM,No
abigail.brown@gmail.com,Female,No,23 years old,Living with Partner,Yes,16 - 20 years,Oranbo,"Between Php21,195 to Php43,838",Aglipay,BSHM,Regular,No,Yes,No,Private,GAS,No
abigail.clark@gmail.com,Male,No,24 years old,Single Parent,Yes,16 - 20 years,Kapitolyo,"Between Php76,670 to Php131,484",Methodist,BSCS,Regular,No,No,No,Private,Sports Track,No
abigail.davis126@gmail.com,Male,No,18 years old,Single,No,less than 1 year,"Montalban, Rizal","Between Php131,485 to Php219,140",The Church of Jesus Christ of Latter-Day Saints,BSA,Irregular,No,No,No,Public,HUMSS,No
abigail.davis823@gmail.com,Male,No,22 years old,Single,Yes,21 - 25 years,Buting,"Between Php21,195 to Php43,838",Agnostic,BSED-FIL,Irregular,No,No,No,Private,TVL Track,No
abigail.garcia@gmail.com,Female,No,25 years old and above,Married,Yes,21 - 25 years,Buting,"From Php219,140 and up",Atheist,BSN,Regular,No,No,No,Private,HUMSS,No
abigail.green@gmail.com,Male,No,22 years old,Married,Yes,16 - 20 years,Pineda,"Less than Php9,520",No Religion,BSCS,Regular,No,No,No,Private,HUMSS,No
abigail.harris141@gmail.com,Male,No,21 years old,Widower,Yes,1 - 5 years,Dela Paz,"Between Php76,670 to Php131,484",Atheist,ABPSYCH,Regular,Yes,No,No,Private,GAS,No
abigail.harris926@gmail.com,Female,No,25 years old and above,Living with Partner,Yes,26 years and above,San Antonio,"Between Php131,485 to Php219,140",Agnostic,BSBA,Regular,No,No,No,Public,ABM,No
abigail.hill@gmail.com,Male,No,18 years old,Single,Yes,11 - 15 years,Santolan,"From Php219,140 and up",Agnostic,BSECE,Regular,No,Yes,No,Public,GAS,No
abigail.johnson249@gmail.com,Female,No,23 years old,Widower,No,less than 1 year,Catanduanes,"Between Php43,839 to Php76,669",Jehovah's Witness,BSIT,Regular,No,No,No,Private,GAS,No
abigail.johnson495@gmail.com,Male,No,24 years old,Single Parent,No,less than 1 year,Teresa,"Between Php21,195 to Php43,838",Born - Again Christian,BSED-FIL,Irregular,No,No,No,Public,HUMSS,No
abigail.johnson892@gmail.com,Male,No,25 years old and above,Widower,No,less than 1 year,"Montalban, Rizal","Between Php43,839 to Php76,669",No Religion,BSCS,Regular,No,No,No,Public,GAS,No
abigail.johnson@gmail.com,Male,No,21 years old,Married,Yes,11 - 15 years,San Miguel,"Between Php131,485 to Php219,140",Seventh-Day Adventist,BSA,Irregular,Yes,No,Yes,Public,HUMSS,No
abigail.lee@gmail.com,Male,No,24 years old,Married,No,less than 1 year,Binangonan,"Between Php76,670 to Php131,484",Agnostic,BSA,Regular,Yes,No,No,Public,ABM,No
abigail.martinez@gmail.com,Female,Yes,below 18 years old,Separated,Yes,11 - 15 years,Palatiw,"Between Php131,485 to Php219,140",Roman Catholic,BSED-MATH,Irregular,Yes,No,No,Public,STEM,No
abigail.miller473@gmail.com,Female,No,25 years old and above,Widower,Yes,21 - 25 years,Pinagbuhatan,"From Php219,140 and up",Baptist,BSHM,Irregular,No,No,No,Public,ABM,No
abigail.moore655@gmail.com,Male,No,21 years old,Single,Yes,1 - 5 years,Pinagbuhatan,"Between Php76,670 to Php131,484",No Religion,BSCS,Regular,No,No,Yes,Public,STEM,No
abigail.nelson@gmail.com,Male,No,19 years old,Living with Partner,Yes,6 - 10 years,Santa Cruz,"Less than Php9,520",The Church of Jesus Christ of Latter-Day Saints,BSED-ENG,Regular,No,No,No,Private,GAS,No
abigail.perez722@gmail.com,Female,Yes,24 years old,Married,Yes,21 - 25 years,Caniogan,"Between Php76,670 to Php131,484",World Mission Society Church of God,BSBA,Regular,Yes,No,No,Public,GAS,No
abigail.ramirez659@gmail.com,Female,No,22 years old,Married,No,less than 1 year,Mandaluyong City,"Between Php21,195 to Php43,838",LDS Mormon,BSED-ENG,Regular,No,No,No,Private,TVL Track,No
abigail.rivera@gmail.com,Female,No,24 years old,Married,Yes,16 - 20 years,Pinagbuhatan,"Less than Php9,520",Agnostic,ABPSYCH,Regular,No,No,No,Private,HUMSS,No
abigail.rodriguez@gmail.com,Male,No,25 years old and above,Single,Yes,6 - 10 years,Santo Tomas,"Between Php131,485 to Php219,140",Methodist,ABPSYCH,Regular,Yes,No,No,Private,HUMSS,No
abigail.sanchez964@gmail.com,Male,No,22 years old,Single Parent,Yes,less than 1 year,Palatiw,"Between Php131,485 to Php219,140",Born - Again Christian,BSIT,Irregular,No,Yes,No,Public,ABM,No
abigail.scott417@gmail.com,Male,No,18 years old,Widower,No,less than 1 year,Taguig City,"Between Php131,485 to Php219,140",Agnostic,BSED-ENG,Irregular,No,No,No,Public,HUMSS,No
abigail.smith82@gmail.com,Female,No,20 years old,Single Parent,Yes,1 - 5 years,Santo Tomas,"Between Php131,485 to Php219,140",Atheist,ABPSYCH,Regular,No,No,No,Private,TVL Track,No
abigail.smith@gmail.com,Female,No,24 years old,Separated,Yes,21 - 25 years,Buting,"From Php219,140 and up",Protestant/Pentecostal,BEED,Regular,No,No,No,Public,Sports Track,No
abigail.thomas@gmail.com,Male,No,below 18 years old,Separated,Yes,11 - 15 years,Kapasigan,"Between Php76,670 to Php131,484",Methodist,BSIT,Irregular,Yes,No,No,Public,GAS,No
abigail.walker77@gmail.com,Female,No,22 years old,Separated,Yes,6 - 10 years,Rosario,"Between Php131,485 to Php219,140",Seventh-Day Adventist,BSECE,Regular,No,No,No,Public,TVL Track,No
abigail.walker@gmail.com,Male,No,24 years old,Living with Partner,Yes,16 - 20 years,San Antonio,"Less than Php9,520",Undetermined,BSED-FIL,Regular,Yes,No,No,Private,Sports Track,No
abigail.williams@gmail.com,Female,No,24 years old,Single Parent,Yes,11 - 15 years,Kapitolyo,"Between Php131,485 to Php219,140",Agnostic,BSED-FIL,Irregular,No,No,Yes,Public,STEM,No
abigail.wilson@gmail.com,Female,No,23 years old,Widower,Yes,26 years and above,San Antonio,"Between Php131,485 to Php219,140",Iglesia Ni Cristo,BSN,Regular,No,No,No,Public,GAS,No
abigail.wright@gmail.com,Male,Yes,24 years old,Living with Partner,Yes,11 - 15 years,Dela Paz,"Between Php131,485 to Php219,140",Jehovah's Witness,BEED,Regular,No,No,No,Private,HUMSS,No
abigail.young990@gmail.com,Male,No,below 18 years old,Widower,No,less than 1 year,Antipolo,"Between Php9,520 to Php21,194",Iglesia Ni Cristo,ABPSYCH,Irregular,Yes,No,No,Public,Sports Track,No
amelia.anderson807@gmail.com,Male,No,22 years old,Single Parent,No,less than 1 year,Cavite,"Less than Php9,520",Undetermined,BSED-FIL,Irregular,No,No,No,Private,GAS,No
amelia.anderson@gmail.com,Female,No,20 years old,Living with Partner,Yes,6 - 10 years,San Miguel,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSIT,Regular,Yes,No,No,Public,STEM,No
amelia.campbell156@gmail.com,Female,No,23 years old,Widower,Yes,11 - 15 years,Maybunga,"From Php219,140 and up",The Church of Jesus Christ of Latter-Day Saints,BSCS,Regular,No,Yes,No,Private,ABM,No
amelia.campbell@gmail.com,Male,Yes,23 years old,Living with Partner,Yes,26 years and above,Bagong Katipunan,"Between Php131,485 to Php219,140",No Religion,BSED-MATH,Regular,No,Yes,No,Private,Sports Track,No
amelia.davis731@gmail.com,Female,No,24 years old,Single,Yes,11 - 15 years,Sumilang,"Between Php21,195 to Php43,838",No Religion,BSN,Regular,Yes,No,No,Private,ABM,No
amelia.flores@gmail.com,Female,No,below 18 years old,Living with Partner,No,less than 1 year,Catanduanes,"Between Php9,520 to Php21,194",Iglesia Ni Cristo,BSBA,Regular,No,No,No,Public,Sports Track,Yes
amelia.gonzalez@gmail.com,Female,No,23 years old,Single Parent,No,less than 1 year,Binangonan,"Less than Php9,520",Protestant/Pentecostal,BSCS,Regular,No,No,No,Private,Sports Track,No
amelia.hall957@gmail.com,Female,No,22 years old,Single,No,less than 1 year,Mandaluyong City,"Less than Php9,520",Members Church of God International,ABPSYCH,Irregular,No,No,No,Private,GAS,No
amelia.harris316@gmail.com,Male,No,19 years old,Single Parent,Yes,6 - 10 years,Bagong Katipunan,"Between Php76,670 to Php131,484",Baptist,BSIT,Irregular,No,Yes,No,Private,GAS,No
amelia.harris440@gmail.com,Male,No,21 years old,Living with Partner,Yes,21 - 25 years,Rosario,"From Php219,140 and up",Born - Again Christian,BSCS,Regular,Yes,No,Yes,Private,STEM,No
amelia.harris@gmail.com,Male,No,20 years old,Widower,No,less than 1 year,Mandaluyong City,"Between Php9,520 to Php21,194",Methodist,BSCS,Regular,No,No,No,Public,STEM,No
amelia.hernandez@gmail.com,Female,No,21 years old,Widower,No,less than 1 year,Bulacan,"Between Php76,670 to Php131,484",Members Church of God International,BSCS,Regular,No,No,No,Private,ABM,No
amelia.hill355@gmail.com,Male,No,22 years old,Living with Partner,Yes,1 - 5 years,San Jose,"Less than Php9,520",Seventh-Day Adventist,BSA,Regular,No,No,Yes,Public,Sports Track,No
amelia.hill471@gmail.com,Male,No,19 years old,Single,No,less than 1 year,Antipolo,"Between Php21,195 to Php43,838",Baptist,BSA,Regular,No,No,No,Private,HUMSS,No
amelia.jones304@gmail.com,Female,No,20 years old,Widower,No,less than 1 year,Cavite,"Between Php9,520 to Php21,194",Aglipay,ABPSYCH,Regular,No,No,No,Private,Sports Track,No
amelia.jones@gmail.com,Female,No,20 years old,Widower,No,less than 1 year,Binangonan,"Between Php21,195 to Php43,838",No Religion,BEED,Irregular,No,No,No,Public,ABM,No
amelia.king833@gmail.com,Male,No,below 18 years old,Single,Yes,less than 1 year,Kapasigan,"Between Php9,520 to Php21,194",Agnostic,BSED-ENG,Regular,No,No,No,Public,HUMSS,No
amelia.lopez485@gmail.com,Male,No,25 years old and above,Living with Partner,Yes,1 - 5 years,Pinagbuhatan,"Between Php21,195 to Php43,838",Members Church of God International,BSED-FIL,Regular,Yes,No,No,Public,TVL Track,No
amelia.lopez@gmail.com,Male,No,18 years old,Single Parent,No,less than 1 year,Binangonan,"Between Php43,839 to Php76,669",Born - Again Christian,BSHM,Irregular,No,No,No,Public,GAS,No
amelia.mitchell710@gmail.com,Female,No,19 years old,Single Parent,No,less than 1 year,Pateros,"Between Php76,670 to Php131,484",Roman Catholic,BSED-FIL,Regular,No,No,No,Public,GAS,No
amelia.moore32@gmail.com,Male,No,21 years old,Separated,Yes,21 - 25 years,Pinagbuhatan,"From Php219,140 and up",Born - Again Christian,BSCS,Irregular,No,No,No,Private,TVL Track,No
amelia.moore@gmail.com,Male,No,below 18 years old,Widower,Yes,26 years and above,Santa Rosa,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSN,Regular,No,No,No,Public,ABM,No
amelia.nguyen8@gmail.com,Female,No,18 years old,Separated,Yes,1 - 5 years,Sagad,"From Php219,140 and up",Aglipay,BSIT,Irregular,No,No,No,Private,ABM,No
amelia.nguyen@gmail.com,Male,No,19 years old,Married,Yes,6 - 10 years,Caniogan,"Between Php131,485 to Php219,140",LDS Mormon,BSHM,Regular,No,No,No,Public,TVL Track,No
amelia.perez868@gmail.com,Male,No,21 years old,Living with Partner,No,less than 1 year,Pateros,"Between Php9,520 to Php21,194",LDS Mormon,BSECE,Regular,Yes,No,No,Public,Sports Track,No
amelia.ramirez@gmail.com,Male,No,25 years old and above,Widower,Yes,21 - 25 years,Pinagbuhatan,"Less than Php9,520",Jehovah's Witness,BSBA,Irregular,Yes,No,No,Private,STEM,No
amelia.rivera@gmail.com,Male,No,20 years old,Separated,No,less than 1 year,Binangonan,"Between Php76,670 to Php131,484",The Church of Jesus Christ of Latter-Day Saints,BSECE,Regular,No,No,No,Private,HUMSS,No
amelia.rodriguez@gmail.com,Male,No,25 years old and above,Married,Yes,1 - 5 years,Pineda,"Between Php9,520 to Php21,194",Islam,BSED-FIL,Regular,No,No,No,Private,HUMSS,No
amelia.sanchez760@gmail.com,Female,No,24 years old,Widower,Yes,1 - 5 years,Kalawaan,"Between Php131,485 to Php219,140",Aglipay,BSED-MATH,Irregular,No,No,No,Private,TVL Track,No
amelia.scott593@gmail.com,Male,No,20 years old,Widower,No,less than 1 year,Taguig City,"Between Php131,485 to Php219,140",Baptist,BSBA,Irregular,No,No,No,Public,STEM,No
amelia.scott@gmail.com,Female,No,below 18 years old,Living with Partner,Yes,6 - 10 years,Santa Rosa,"Between Php21,195 to Php43,838",World Mission Society Church of God,BSHM,Irregular,No,No,No,Private,TVL Track,No
amelia.smith226@gmail.com,Male,No,22 years old,Single Parent,Yes,6 - 10 years,Kalawaan,"Less than Php9,520",Methodist,BSIT,Regular,Yes,No,No,Private,GAS,No
amelia.thomas887@gmail.com,Male,No,25 years old and above,Widower,Yes,1 - 5 years,Oranbo,"Between Php9,520 to Php21,194",Baptist,BEED,Irregular,Yes,Yes,No,Public,Sports Track,No
amelia.thompson510@gmail.com,Male,Yes,22 years old,Single,Yes,less than 1 year,Bagong Katipunan,"Between Php21,195 to Php43,838",Agnostic,BSED-ENG,Regular,Yes,No,No,Public,STEM,No
amelia.torres682@gmail.com,Female,No,21 years old,Married,Yes,1 - 5 years,Maybunga,"Between Php43,839 to Php76,669",Members Church of God International,BSCS,Regular,No,No,No,Private,STEM,Yes
amelia.torres@gmail.com,Female,No,25 years old and above,Single Parent,Yes,26 years and above,Bagong Katipunan,"Between Php9,520 to Php21,194",World Mission Society Church of God,BSED-ENG,Regular,No,No,No,Public,GAS,No
amelia.walker@gmail.com,Male,No,below 18 years old,Single,Yes,1 - 5 years,San Jose,"Between Php131,485 to Php219,140",Jehovah's Witness,BSA,Irregular,No,No,No,Public,HUMSS,No
amelia.white429@gmail.com,Male,No,22 years old,Single,Yes,11 - 15 years,Manggahan,"Less than Php9,520",Agnostic,BEED,Regular,Yes,No,No,Public,STEM,No
amelia.white@gmail.com,Female,No,below 18 years old,Single,Yes,1 - 5 years,San Miguel,"Between Php21,195 to Php43,838",Atheist,BSED-ENG,Regular,No,No,No,Private,TVL Track,No
amelia.williams649@gmail.com,Female,No,22 years old,Widower,No,less than 1 year,Binangonan,"Less than Php9,520",Atheist,BSIT,Regular,No,No,No,Public,GAS,No
amelia.wilson@gmail.com,Female,No,21 years old,Living with Partner,Yes,26 years and above,Pineda,"Between Php43,839 to Php76,669",No Religion,BSBA,Regular,Yes,No,No,Public,HUMSS,No
amelia.young@gmail.com,Male,No,20 years old,Married,Yes,26 years and above,Kalawaan,"Between Php9,520 to Php21,194",Methodist,BSCS,Regular,No,No,No,Public,HUMSS,No
anthony.adams448@gmail.com,Female,No,24 years old,Single Parent,No,less than 1 year,Bulacan,"Less than Php9,520",Jehovah's Witness,BSA,Regular,Yes,No,No,Private,ABM,No
anthony.adams947@gmail.com,Male,No,23 years old,Single,Yes,21 - 25 years,Malinao,"Between Php9,520 to Php21,194",Agnostic,BSN,Regular,No,No,No,Public,HUMSS,No
anthony.adams@gmail.com,Male,No,20 years old,Married,Yes,21 - 25 years,Kapasigan,"From Php219,140 and up",World Mission Society Church of God,BSA,Regular,No,No,No,Public,Sports Track,No
anthony.allen679@gmail.com,Male,No,19 years old,Separated,Yes,less than 1 year,Malinao,"Between Php21,195 to Php43,838",Seventh-Day Adventist,BSECE,Irregular,No,No,No,Private,HUMSS,No
anthony.allen@gmail.com,Male,No,25 years old and above,Widower,No,less than 1 year,Antipolo,"Between Php131,485 to Php219,140",Methodist,BSHM,Regular,No,No,No,Public,STEM,No
anthony.anderson824@gmail.com,Male,No,below 18 years old,Married,Yes,21 - 25 years,Manggahan,"Between Php131,485 to Php219,140",Aglipay,BSED-ENG,Irregular,No,No,No,Private,TVL Track,No
anthony.garcia301@gmail.com,Female,No,24 years old,Married,No,less than 1 year,Quezon City,"Less than Php9,520",Aglipay,BSED-FIL,Irregular,No,No,No,Public,Sports Track,No
anthony.garcia@gmail.com,Female,No,25 years old and above,Widower,Yes,21 - 25 years,Malinao,"Less than Php9,520",Members Church of God International,BSA,Regular,No,No,No,Public,ABM,No
anthony.green@gmail.com,Male,No,21 years old,Living with Partner,Yes,26 years and above,San Joaquin,"Between Php21,195 to Php43,838",Seventh-Day Adventist,BSA,Regular,No,No,No,Public,TVL Track,No
anthony.hall306@gmail.com,Male,No,21 years old,Separated,No,less than 1 year,Antipolo,"From Php219,140 and up",LDS Mormon,BSBA,Irregular,No,No,No,Private,STEM,No
anthony.hall860@gmail.com,Female,No,below 18 years old,Living with Partner,No,less than 1 year,Antipolo,"Between Php76,670 to Php131,484",No Religion,BSCS,Regular,No,No,No,Private,TVL Track,No
anthony.harris@gmail.com,Male,Yes,24 years old,Widower,No,less than 1 year,Cavite,"Between Php21,195 to Php43,838",Seventh-Day Adventist,BSN,Regular,Yes,No,No,Public,HUMSS,No
anthony.hernandez@gmail.com,Male,No,24 years old,Widower,No,less than 1 year,Taytay,"Between Php43,839 to Php76,669",Islam,BSED-MATH,Regular,Yes,No,No,Private,Sports Track,No
anthony.hill176@gmail.com,Male,No,20 years old,Widower,No,less than 1 year,Catanduanes,"Between Php131,485 to Php219,140",Methodist,BSCS,Regular,No,No,No,Public,ABM,No
anthony.jackson321@gmail.com,Male,No,23 years old,Single Parent,Yes,1 - 5 years,Kapasigan,"Between Php43,839 to Php76,669",Jehovah's Witness,BSED-MATH,Regular,Yes,No,No,Public,HUMSS,No
anthony.johnson@gmail.com,Male,No,20 years old,Married,Yes,1 - 5 years,Bagong Katipunan,"Between Php76,670 to Php131,484",Aglipay,BSBA,Irregular,No,No,No,Private,GAS,No
anthony.king@gmail.com,Male,No,19 years old,Living with Partner,No,less than 1 year,Taguig City,"From Php219,140 and up",Jehovah's Witness,BSA,Irregular,No,No,No,Public,GAS,No
anthony.lewis873@gmail.com,Male,No,21 years old,Living with Partner,Yes,21 - 25 years,Maybunga,"Between Php9,520 to Php21,194",Members Church of God International,BSHM,Regular,No,No,No,Public,STEM,No
anthony.lewis@gmail.com,Female,No,23 years old,Living with Partner,No,less than 1 year,Cavite,"Between Php43,839 to Php76,669",Aglipay,BSED-MATH,Irregular,No,No,No,Public,GAS,No
anthony.lopez955@gmail.com,Male,No,22 years old,Separated,No,less than 1 year,Quezon City,"Less than Php9,520",The Church of Jesus Christ of Latter-Day Saints,BSA,Regular,No,No,No,Private,TVL Track,No
